id,title,description,provider,delivery_mode,cost_gbp,cost_category,duration,duration_category,access,education_outcome,target_audience,category,sub_theme,url,asset_category,review_status,image_url
44,Social Prescribing – Learning for Link Workers programme,Social prescribing enables all primary care staff and local agencies to refer people to a link worker. Link workers give people time and focus on what matters to the person as identified through shared decision making or personalised care and support planning. They connect people to community groups and agencies for practical and emotional support. They collaborate with local partners to support community groups to be accessible and sustainable and help people to start new groups.,eLfH,Online,0,Free,0,Less than a day,Register for an eLfH account,Not Applicable,"[""Allied Health Professionals"", ""Community work and engagement"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Social Prescribing""]",https://portal.e-lfh.org.uk/Component/Details/595166,"[""Course""]",Approved,
45,Sexual Orientation,"how and why sexual orientation is fundamental to a person’s sense of identity
language, and what we mean by the acronym LGBTQ+
the challenges and benefits of a person ‘being out’ in the workplace
stereotypes, why we use them and the damage they can do
policies on sexual orientation inclusion
how to spot acts of discrimination and how to deal with them
how we measure progress in sexual minority inclusion
steps to ensure that sexual minorities feel comfortable to bring their whole selves to work
Pride and the customer experience.",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""LGBTQ+""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=51,"[""Course""]",Approved,
46,Self-harm in the Workplace,"Self-harm in the Workplace
This fully interactive workshop is designed for line managers, wellbeing leads, mental health first aiders and anyone in your organisation (mainly in the private sector) who could benefit. It deepens understanding of self-harm and eating distress while equipping participants to predominantly support staff, as well as visitors and clients, effectively.
Through practical guidance and real-world scenarios, participants will learn how to respond with sensitivity, build a supportive environment and use the right language and approaches to help someone in distress.
?",Battle Scars,Online or Face to Face,0,Various,3.5 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Mental Health Conditions""]","[""Self Harm""]",https://www.battle-scars-self-harm.org.uk/self-harm-in-the-workplace.html,"[""Course""]",Approved,
47,Safeguarding for call handlers,"Safeguarding for call handlers
This course covers legislation regarding safeguarding, including key responsibilities for organisations working with children or vulnerable adults.

You’ll learn how to respond appropriately to disclosures and suspicions of abuse when working with customers or clients on the telephone.",Shelter,Online,110,Paid,half day,Less than a day,Register on website,CPD Credits,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Safeguarding""]",https://england.shelter.org.uk/professional_resources/shelter_training/professional_skills/safeguarding_call_handlers_course,"[""Course""]",Approved,
48,Responding to Domestic Violence and Abuse in Healthcare Settings,"Responding to Domestic Violence and Abuse in Healthcare Settings
This interactive (CPRD Certified) session draws from our “essentials” training, putting it in the context of healthcare providers and settings. With a trauma-informed approach, we consider the impact of domestic abuse on individuals and the healthcare service, and how health professionals have a unique role in identifying and supporting those who may be experiencing abuse.",Behind Closed Doors,Online,400,Paid,3 1/2 hrs,Less than a day,Book Via Email,Introductory,"[""All""]","[""Domestic Abuse"", ""Safeguarding""]","[""0""]",https://behind-closed-doors.org.uk/training/domestic-abuse-training/,"[""Course""]",Approved,
49,Renters' Rights Act: overview and impact,"The Renters’ Rights Act is set to reform the private housing sector by introducing stronger protections for private tenants against eviction, new rules for private landlords and improved housing standards.
The first provisions of the Act will come into force on 1 May 2026 which includes the end of assured shorthold tenancies and the ban on new section 21 notices.
You’ll learn about the new grounds for possession and notice periods, the new rules for the private rented sector and more.",Shelter,Online,110,Paid,NA,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/renters_rights_act/renters_rights_act_overview_impact_course,"[""Course""]",Approved,
50,Religion and Belief,"This training will give a better understanding of:

The term religion and belief as a protected characteristic
How to accommodate diverse religions and beliefs",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Culture"", ""Wider social determinants of Health""]","[""religion""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=177,"[""Course""]",Approved,
51,Reducing health inequalities for patients with limited English,"This course will consider the health inequalities which face patients with limited English proficiency and how we as healthcare professionals can help to overcome these inequalities. It will provide an understanding of the practical, organisational and ethical considerations in delivering care for patients with limited English proficiency.",Royal College of General Practitioners Learning,Online,0,Free,30 minutes,Less than an hour,Register with RCGP website,CPD Credits,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Limited English""]",https://elearning.rcgp.org.uk/course/view.php?id=1191,"[""Course""]",Approved,
52,Recognising and Responding to Islamophobia,"This training will give a better understanding of:


Understanding how Islamophobia is defined in the UK context
Recognising common stereotypes, tropes, and narratives about Muslims
Distinguishing between legitimate debate and Islamophobia
Understanding how fear, othering, and collective blame operate
Recognising the everyday impacts of Islamophobia on the Muslim community
Developing confidence to respond as informed and effective allies",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Culture"", ""Wider social determinants of Health""]","[""Islamophobia""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=206,"[""Course""]",Approved,
53,Protecting Children and Vulnerable Adults from Abuse Linked to Faith or Belief,To equip professionals with the knowledge and confidence to recognise and deal with child abuse linked to faith and belief.,National FGM Centre,Online or Face to Face,695,Paid,1/2 day and full day,Less than a day,Book Via Email,CPD Credits,"[""All""]","[""Safeguarding""]","[""Child abuse linked to faith or belief""]",https://nationalfgmcentre.org.uk/wp-content/uploads/2022/09/NFGMC-Training-Booklet.pdf,"[""Course""]",Approved,
